diagnostic,trading_date,horizon,target,median_base_skill,median_jepa_skill,median_base_plus_jepa_skill,median_incremental_jepa_skill,incremental_range,positive_seeds,median_incremental_r2,median_auc,median_balanced_accuracy
diagnostic_2,2026-08-27,30s,surface_displacement,-0.12138007816571239,-4.307593179642133e-05,0.009796338857517184,0.13117641702322957,"[0.10548816351932522, 0.14614954861203477]",5,0.33780555192553696,,
diagnostic_2,2026-08-27,60s,absolute_atm_iv_change,0.19752736458808862,0.036961500632077815,0.14938723000791243,-0.048140134580176186,"[-0.05824325169011613, -0.02412821342512872]",0,-0.18397862879768323,,
diagnostic_2,2026-08-27,60s,absolute_atm_straddle_change,0.08835353135055202,-0.01242522073494845,0.06376735025649083,-0.024586181094061188,"[-0.11643697731025082, -0.01712990994593455]",0,-0.04612445139555987,,
diagnostic_2,2026-08-27,60s,absolute_futures_return,-0.5410630285827911,-0.025793785626903487,-0.9597459783390476,-0.41868294975625653,"[-3.7757622242858013, -0.04259987448358804]",0,-0.9364668468353878,,
diagnostic_2,2026-08-27,60s,near_atm_spread_change,0.1517920938813453,-0.0003007370086229866,0.16721965913752546,0.015427565256180165,"[-2.4264599432635845, 0.04473006647010491]",3,0.04729155102895277,0.7737336330584506,0.7021446246517435
diagnostic_2,2026-08-27,60s,realized_futures_volatility,-0.8480260249672458,-0.09827459404434857,-0.48575417671479637,0.3622718482524494,"[-0.013934686835210375, 0.4768624153871901]",4,0.9319391643875403,,
diagnostic_2,2026-08-27,60s,signed_atm_iv_change,0.10086934752608179,0.004519446826485862,0.08351988592719017,-0.017349461598891613,"[-0.20117138104472176, 0.03797208500715599]",1,-0.023997496016525566,0.7159076980209735,0.6536391174175447
diagnostic_2,2026-08-27,60s,signed_atm_straddle_change,-0.7157488687669171,-0.004811743951798286,-0.08131636487138927,0.6344325038955279,"[0.5788266952758936, 0.6544849889358084]",5,0.5815854134291976,0.540624620146998,0.5083151341539509
diagnostic_2,2026-08-27,60s,signed_futures_return,-6.405929034309747,-0.0014564459935373364,-19.60146186810176,-13.195532833792015,"[-18.106796793765238, 5.0242193890653875]",1,-208.13589236768954,0.5095944935701961,0.5
diagnostic_2,2026-08-27,60s,surface_displacement,-0.13715505851242016,0.004644330565388932,-0.07415950923915915,0.06299554927326101,"[-0.07485893181246417, 0.10399688766547865]",4,0.08442645424881268,,
